url;Jumlah Data
http://lpse.malukubaratdayakab.go.id/eproc4;1,27
http://lpse.maltengkab.go.id/eproc4;1,928
http://lpse.malukutenggarakab.go.id/eproc4;1,406
http://lpse.mtbkab.go.id/eproc4;
http://lpse.mamasakab.go.id/eproc4;1,474
https://lpse.mamberamorayakab.go.id/eproc4;
https://lpse.mamberamotengahkab.go.id/eproc4;
http://lpse.mamujukab.go.id/eproc4;2,468
http://lpse.mamujutengahkab.go.id/eproc4;787
http://lpse.madina.go.id/eproc4;1,231
https://lpse.manggaraikab.go.id/eproc4;2,311
https://lpse.manggaraibaratkab.go.id/eproc4;2,273
http://lpse.manggaraitimurkab.go.id/eproc4;1,178
http://103.78.38.146/eproc4;1,227
http://lpse.manselkab.go.id/eproc4;0
https://lpse.mappikab.go.id/eproc4;7
http://lpse.maroskab.go.id/eproc4;4,008
http://lpse.maybratkab.go.id/eproc4;29
https://lpse.melawikab.go.id/eproc4;1,096
http://lpse.mempawahkab.go.id/eproc4;2,041
http://lpse.meranginkab.go.id/eproc4;1,768
https://lpse.merantikab.go.id/eproc4;1,398
http://lpse.merauke.go.id/eproc4;1,24
https://lpse.mesujikab.go.id/eproc4;1,532
https://lpse.mimikakab.go.id/eproc4;1,699
http://lpse.minahasa.go.id/eproc4;1,547
https://lpse.minselkab.go.id/eproc4;1,345
http://lpse.mitrakab.go.id/eproc4;1,215
http://lpse.minutkab.go.id/eproc4;627
http://lpse.mojokertokab.go.id/eproc4;2,597
https://lpse.morowalikab.go.id/eproc4;1,528
http://lpse.morowaliutarakab.go.id/eproc4;1,13
https://lpse.muaraenimkab.go.id/eproc4;5,489
http://lpse.muarojambikab.go.id/eproc4;1,835
https://lpse.mukomukokab.go.id/eproc4;1,516
http://lpse.munakab.go.id/eproc4;2,434
https://lpse.munabaratkab.go.id/eproc4;
http://lpse.murungrayakab.go.id/eproc4;2,359
https://lpse.mubakab.go.id/eproc4;8,205
http://lpse.musirawaskab.go.id/eproc4;3,871
http://lpse.muratarakab.go.id/eproc4;1,972
http://lpse.nabirekab.go.id/eproc4;433
https://lpse.naganrayakab.go.id/eproc4;2,552
http://36.89.112.35/eproc4;1,058
https://lpse.natunakab.go.id/eproc4;1,806
http://lpse.ndugakab.go.id/eproc4;0
http://lpse.ngadakab.go.id/eproc4;1,34
http://lpse.nganjukkab.go.id/eproc4;2,109
https://lpse.ngawikab.go.id/eproc4;
http://lpse.niaskab.go.id/eproc4;1,746
http://lpse.niasbaratkab.go.id/eproc4;1,187
https://lpse.niasselatankab.go.id/eproc4;1,792
http://lpse.niasutarakab.go.id/eproc4;1,529
http://lpse.nunukankab.go.id/eproc4;2,762
http://lpse.oganilirkab.go.id/eproc4;2,173
http://lpse.kaboki.go.id/eproc4;4,853
http://lpse.okukab.go.id/eproc4;2,66
http://lpse.okuselatankab.go.id/eproc4;1,821
http://lpse.okutimurkab.go.id/eproc4;2,869
https://lpse.pacitankab.go.id/eproc4;1,592
http://lpse.padanglawaskab.go.id/eproc4;1,545
http://lpse.padanglawasutarakab.go.id/eproc4;1,986
http://lpse.padangpariamankab.go.id/eproc4;
http://lpse.pakpakbharatkab.go.id/eproc4;1,098
https://lpse.pamekasankab.go.id/eproc4;1,532
http://lpse.pandeglangkab.go.id/eproc4;2,598
http://lpse.pangkepkab.go.id/eproc4;1,617
http://lpse.parigimoutongkab.go.id/eproc4;1,505
http://lpse.pasamankab.go.id/eproc4;1,558
http://lpse.pasamanbaratkab.go.id/eproc4;768
http://lpse.pasangkayukab.go.id/eproc4;1,093
https://lpse.paserkab.go.id/eproc4;3,637
https://lpse.pasuruankab.go.id/eproc4;3,556
http://lpsepatikab.org/eproc4;2,541
http://103.170.89.69/eproc4;0
https://lpse.pegbintangkab.go.id/eproc4;15
https://lpse.pekalongankab.go.id/eproc4;2,43
http://lpse.pelalawankab.go.id/eproc4;2,391
https://lpse.pemalangkab.go.id/eproc4;1,557
https://lpse.penajamkab.go.id/eproc4;2,659
http://lpse.palikab.go.id/eproc4;1,125
http://lpse.pesawarankab.go.id/eproc4;3,037
https://lpse.pesisirbaratkab.go.id/eproc4;999
http://lpse.pesisirselatankab.go.id/eproc4;1,551
http://lpse.pidiekab.go.id/eproc4;2,141
http://lpse.pinrangkab.go.id/eproc4;1,286
https://lpse.pohuwatokab.go.id/eproc4;1,777
http://lpse.polmankab.go.id/eproc4;1,756
https://lpse.ponorogo.go.id/eproc4;1,449
https://lpse.posokab.go.id/eproc4;
https://lpse.pringsewukab.go.id/eproc4;1,909
https://lpse.probolinggokab.go.id/eproc4;2,626
http://lpse.pulangpisaukab.go.id/eproc4;2,489
http://lpse.pulaumorotaikab.go.id/eproc4;837
http://103.60.181.134/eproc4;1,251
http://lpse.puncakkab.go.id/eproc4;97
http://lpse.puncakjayakab.go.id/eproc4;918
https://lpse.purbalinggakab.go.id/eproc4;2,551
http://lpse.purwakartakab.go.id/eproc4;2,12
https://lpse.purworejokab.go.id/eproc4;2,666
https://lpse.rajaampatkab.go.id/eproc4;1,408
https://lpse.rejanglebongkab.go.id/eproc4;1,289
http://lpse.rembangkab.go.id/eproc4;932
https://lpse.rohilkab.go.id/eproc4;2,3
http://lpse.rokanhulukab.go.id/eproc4;1,951
https://lpse.rotendaokab.go.id/eproc4;1,144
http://lpse.saburaijuakab.go.id/eproc4;726
http://lpse.sambas.go.id/eproc4;1,786
http://lpse.samosirkab.go.id/eproc4;1,207
http://lpse.sampangkab.go.id/eproc4;3,73
http://lpse.sanggau.go.id/eproc4;2,431
http://lpse.sarmikab.go.id/eproc4;109
https://lpse.sarolangunkab.go.id/eproc4;1,614
http://lpse.sekadaukab.go.id/eproc4;1,539
https://lpse.selumakab.go.id/eproc4;1,368
http://lpse.semarangkab.go.id/eproc4;3,033
https://lpse.sbbkab.go.id/eproc4;1,108
http://lpse.serambagiantimurkab.go.id/eproc4;1,394
http://lpse.serangkab.go.id/eproc4;2,933
https://lpse.serdangbedagaikab.go.id/eproc4;1,474
