id_lpse;nama_lpse;url;versi;id_repo;lengkap;status;id_wilayah;kategori
641;LPSE Provinsi Papua Barat;https://tender.papuabaratprov.go.id/eproc4;4.5u20220801;641;1;1;;4
39;LPSE Provinsi Riau;http://lpse.riau.go.id/eproc4;4.4u20220601;39;1;1;;4
263;LPSE Provinsi Sulawesi Barat;https://lpse.sulbarprov.go.id/eproc4;4.5u20220721;263;1;1;;4
36;LPSE Provinsi Sulawesi Selatan;https://lpse.sulselprov.go.id/eproc4;4.5u20220708;36;1;1;;4
154;LPSE Provinsi Sulawesi Tengah;http://lpse.sultengprov.go.id/eproc4;4.5u20220721;154;1;1;;4
81;LPSE Provinsi Sulawesi Tenggara;https://lpse.sultraprov.go.id/eproc4;4.5u20220708;81;1;1;;4
173;LPSE Provinsi Sulawesi Utara;http://lpse.sulutprov.go.id/eproc4;4.5u20220721;173;1;1;;4
16;LPSE Provinsi Sumatera Barat;http://103.22.250.210/eproc4;4.5u20220715;16;1;1;;4
103;LPSE Provinsi Sumatera Selatan;http://lpse.sumselprov.go.id/eproc4;4.4u20220601;103;1;1;;4
27;LPSE Provinsi Sumatera Utara;https://lpse.sumutprov.go.id/eproc4;4.5u20220721;27;1;1;;4
709;LPSE Radio Republik Indonesia;https://lpse.kemenkeu.go.id/eproc4;4.4u20220601;11;1;0;;6
171;LPSE RS Wahidin Sudirohusodo;https://lpse.kemkes.go.id/eproc4;4.5u20220804;47;1;0;;6
215;LPSE RSJ Dr Radjiman Wediodiningrat;http://lpse.depkes.go.id/eproc4;;215;1;0;;6
229;LPSE Sekolah Tinggi Agama Islam Negeri Jember;http://lpse.iain-jember.ac.id/eproc4;4.3u20191009;229;1;0;;5
467;LPSE Sekolah Tinggi Pariwisata Nusa Dua Bali;https://lpse.kemenparekraf.go.id/eproc4;4.5u20220721;386;1;0;;5
528;LPSE Sekretariat Jenderal Dewan Ketahanan Nasional;https://lpse.dkn.go.id/eproc4;;528;1;0;;3
556;LPSE Sekretariat Jenderal Dewan Perwakilan Daerah Republik Indonesia;https://lpse.dpd.go.id/eproc4;4.4u20220601;556;1;1;;3
397;LPSE STAIN Parepare;https://lpse.kemenag.go.id/eproc4;4.5u20220708;170;1;0;;5
465;LPSE UIN Raden Fatah Palembang;https://lpse.radenfatah.ac.id/eproc4;;465;1;1;;5
262;LPSE Universitas Airlangga;https://lpse.unair.ac.id/eproc4;4.5u20220426;262;1;1;;5
302;LPSE Universitas Andalas;http://lpse.unand.ac.id/eproc4;4.5u20220705;302;1;1;;5
240;LPSE Universitas Bandar Lampung;http://lpse.unila.ac.id/eproc4;;240;1;0;;5
185;LPSE Universitas Bengkulu;http://lpse.unib.ac.id/eproc4;4.3u20191009;185;1;0;;5
128;LPSE Universitas Brawijaya;http://lpse.ub.ac.id/eproc4;4.4u20210516;128;1;1;;5
29;LPSE Universitas Diponegoro;http://lpse.undip.ac.id/eproc4;4.4u20220509;29;1;1;;5
303;LPSE Universitas Gadjah Mada;https://lpse.ugm.ac.id/eproc4;;303;1;1;;5
402;LPSE Universitas Haluoleo;http://lpse.uho.ac.id/eproc4;4.3u20191009;402;1;0;;5
174;LPSE Universitas Hasanudin;http://lpse.unhas.ac.id/eproc4;4.3u20191009;174;1;0;;5
190;LPSE Universitas Indonesia;https://lpse.ui.ac.id/eproc4;4.4u20220601;190;1;1;;5
416;LPSE Universitas Islam Negeri Alauddin Makasar;https://lpse.kemenag.go.id/eproc4;4.5u20220708;170;1;0;;5
408;LPSE Universitas Jambi;http://lpse.unja.ac.id/eproc4;;408;1;0;;5
241;LPSE Universitas Jember;http://lpse.unej.ac.id/eproc4;4.3u20191009;241;1;0;;5
227;LPSE Universitas Jenderal Soedirman;https://lpse.unsoed.ac.id/eproc4;;227;1;1;;5
560;LPSE Universitas Lambung Mangkurat;https://lpse.ulm.ac.id/eproc4;4.3u20190828;560;1;0;;5
490;LPSE Universitas Lampung;http://lpse.unila.ac.id/eproc4;;490;1;0;;5
