,Nama,NPWP
2496,             GLOBAL TEKNIKA SAINSINDO          ,75.869.713.0-444.000
2499,             PT. BAGUS PEDRIANSYAH          ,02.238.938.1-048.000
2501,             PT Forcemedia Sinergi Komunikasi          ,70.495.023.7-035.000
2520,             PT. SWELLASS SUKSES SENTOSO          ,02.748.299.1-008.000
2523,             PT. Gagan Nusa Perkasa          ,31.312.571.8-036.000
2524,             PANIMBANG JAYA CV          ,73.641.376.6-401.000
2525,             CV. SIDO AGUNG          ,31.562.682.0-517.000
2526,             PD BINTANG          ,31.532.733.8-428.000
2528,             SINERGI CITRA SELARAS          ,31.689.787.5-086.000
2529,             CV. GHAFARI PERKASA          ,76.072.202.5-101.000
2530,             CV. SAGITA & CORPORATION          ,02.423.754.7-451.000
2535,             CV. Raja Kencana          ,83.395.432.4-503.000
2536,             CV. Berkat Abadi          ,85.506.562.9-619.000
2537,             PT. Foximas Mandiri          ,01.448.571.8-422.000
2538,             PT Lynxindo Galba          ,02.052.840.2-019.000
2540,             Traco Global System          ,02.084.377.7-424.000
2542,             PITON JAYA SAKTI          ,03.015.172.4-009.000
2555,             CV. Tanah Goshen Permai          ,31.306.711.8-028.000
2565,             PT. AIFAN BIMANTARA PERSADA          ,81.376.860.3-027.000
2569,             CV. BUANA LESTARI          ,80.875.293.5-005.000
2576,             CV SANFREMY PRATAMA          ,31.764.490.4-122.000
2578,             PT. BINTANG LAYUR SELATAN          ,72.311.648.9-008.000
2580,             PT EDU TECH INDONESIA          ,72.229.862.7-005.000
2581,             CV ARTA JAYA MANDIRI          ,85.559.596.3-445.000
2582,             PT. INFOKOM ELEKTRINDO          ,01.802.478.6-062.000
2594,             PT. INTICOM SENTRALINDO          ,31.653.786.9-025.000
2601,             CV RACHMANDA PRATAMA          ,76.145.778.7-941.000
2605,"             Fadli Robbii, CV          ",83.131.601.3-518.000
2606,             maresindo          ,81.532.226.8-008.000
2607,             cv.Ahfis Samibakti          ,02.025.970.1-017.000
2608,             PT.MUMRAJAYA RIMBARA LESTARI          ,83.524.458.3-085.000
2609,             CV. CENDRAWASIH SUKSES NIAGA          ,84.647.995.4-543.000
2612,             Altamis Bakti Era Lestari          ,83.274.863.6-027.000
2613,             CV. JAYA ARTHA MANDIRI          ,66.156.418.7-005.000
2624,             GUNUNG MAS          ,02.995.403.9-005.000
2626,             PT MAHAKAAM JAYA SEJAHTERA          ,02.969.437.9-609.000
2630,             PT. BINTANG TIMUR NANGENDI          ,02.255.410.9-641.000
2637,             PT. PIONEER          ,01.313.974.6-073.000
2640,             PT.Sariling Aneka Energi          ,73.492.374.1-451.000
2643,             PT. Dieselindo Utama Nusa          ,01.393.942.6-046.000
2646,             PT. Borimex          ,01.302.582.0-009.000
2649,             PT. SUKSES GEMILANG DIAMOND          ,31.620.431.2-609.000
2664,             PT. Solusindo Lijaya Pratama          ,02.341.953.4-086.000
2680,             KPRI AGRO HUMANIORA          ,02.370.155.0-434.000
2684,             PT. ASTRA INTERNATIONAL TBK-TSO          ,01.302.584.6-092.000
2686,             ESA SAGARA AUTOMODA          ,21.118.031.0-426.000
2688,             PT. KEBUN PANGAN JAYA          ,81.626.412.1-406.000
2689,             PT. LIMA ANUGRAH JAYA          ,73.433.477.4-811.000
2691,             CV. GOWA JAYA RAYA          ,03.227.415.0-803.000
2693,             PT. SIDAKAYA          ,31.443.162.8-407.000
2694,             CV. KANA KOMPUTINDO          ,01.960.778.7-517.000
2696,             PT. UNGGUL POWERINDO PERSADA          ,81.389.131.4-404.000
2700,             PT. KINVIODELA GUMILANG          ,03.224.384.2-008.000
2701,             PT VIKTORI KEMAN TRADINDO          ,74.664.975.5-027.000
2703,             PT. MAHAKARYA TUNGGAL ABADI          ,03.223.736.4-643.000
2704,             PT. JAZABA PAVIN MAKMUR          ,71.765.709.2-035.000
2705,             TRI SAMA SAKTI CONTRACTOR          ,02.476.942.4-615.000
2707,             CV. SEMBILAN BENUA          ,02.443.219.7-404.000
2713,             PT. PUNAKAWAN ALAM SEJAHTERA          ,02.635.802.8-015.000
2714,             CV MANUNGGAL ASA PRATAMA          ,76.012.928.8-524.000
2716,             CV.Daffa Pratama          ,31.598.999.6-005.000
2718,             PT. KARYA BHINEKA JAYA          ,66.290.744.3-028.000
2719,             PT. Kelimutu Prima Bhakti          ,01.367.545.9-027.000
2720,             CV. FORTITO BARITO          ,02.126.579.8-002.000
2722,             PT. KARYA GRATAMA MANDIRI          ,83.392.391.5-435.000
2724,             Buana Prima Persada          ,02.427.133.0-015.000
2729,             CIPTA MANDIRI          ,31.393.068.7-404.000
2736,             PT.INDONESIA SEMOGA JAYA          ,03.075.315.6-201.000
2739,             PT. PUNDI MAS PERKASA          ,82.993.766.3-005.000
2740,             PT. MIKRONET INFO SARANA          ,02.052.790.9-077.000
2742,             Aneka Anugrah Nusantara          ,03.312.296.1-009.000
2743,             PARDOMUAN NAULI          ,02.835.452.0-001.000
2763,             PT.Panen Raya Cipta          ,02.257.458.6-607.000
2766,             CV. ADIBA KARYA BAUNTUNG          ,84.786.530.0-732.000
2771,             PT. Berbakti Rohainah Sukses          ,82.190.368.9-451.000
2772,             CV.TUNAS JURIFAN JAYA          ,80.941.432.9-001.000
2775,             PT.Siena Gavi Mandiri          ,03.236.048.9-009.000
2777,             PT. Pilar Bangun Perkasa Mandiri          ,31.547.187.0-407.000
2778,             CV PANCA PUTRA MANDIRI          ,02.293.353.5-009.000
2785,             CV. DWI WIJAYA          ,02.135.137.5-721.000
2786,             PT. PRADIPTO MULTI SENTOSA          ,01.997.880.8-086.000
2787,             CV. SINDANG JAYA          ,01.531.505.4-421.000
2788,             CV. TRIBUANA TUNGGA DEWI          ,02.638.153.3-603.000
2789,             PT TRIPLE ENERGY INDONESIA          ,80.722.823.4-028.000
2790,             PT. TODO MITRA UTAMA          ,02.038.059.8-036.000
2791,             PT. HARAPAN CIPTA RAYA          ,21.068.648.1-028.000
2792,             PT. WADU SADUNDU UTAMA          ,76.184.495.0-034.000
2794,             CV. 5DAYA PERKASA          ,72.953.654.0-541.000
2795,             PT. SINERGI INOVASI PRIMA          ,75.029.048.8-034.000
2798,             CV. MUS KARYA          ,01.309.943.7-013.000
2799,             SIDOMULYO          ,75.116.798.2-643.000
2801,             CEMPAKAKENCANAWIJAYA          ,80.954.334.1-027.000
2802,             CV. Mandiri          ,02.170.329.3-609.000
2804,             cv.peka united indonesia          ,82.620.649.2-005.000
2805,             PT. Panca Abadi Globalindo          ,03.089.732.6-032.000
2806,             PT. TORANGINDO BERKATTOHANANUSA          ,01.575.386.6-008.000
2808,             PT.SUMBER BERKAT USAHA MANDIRI          ,31.189.245.9-432.000
2810,             PT. PRANA BHASKARA UTAMA          ,75.919.316.2-543.000
2811,             CV. LADANG HIJAU          ,31.707.601.6-609.000
2812,             CV. JOREMA BERJAYA          ,84.796.562.1-002.000
2815,             PT. JAYA MULIA TECHINDO          ,80.659.770.4-321.000
2820,             CV. KENCANA SURYA          ,02.009.941.2-607.000
2822,             CV. ZHATSIE          ,71.963.039.4-732.000
2823,             CV BUANA ELEKTRIK          ,03.127.471.5-626.000
2824,             JAYA KARYA NUSA          ,71.712.021.6-435.000
2825,             ADHYSTIE PRATAMA          ,01.528.575.2-418.000
2826,             CV. UNIVERSAL STUDIO          ,31.680.247.9-424.000
2828,             PT. NAMI JAYA SEJAHTERA          ,01.593.872.3-015.000
2829,             CV. REFFALINDO          ,73.921.572.1-616.000
2830,             CV. MAHKOTA PERSADA          ,03.258.463.3-104.000
2831,             PT.Triagung Kurnia Perkasa          ,76.419.733.1-003.000
2832,             CV.Mutiara Laut Selatan          ,02.109.080.8-023.000
2833,             CV. ALVARO TECHNICAL MARINE          ,03.326.589.3-042.000
2835,             PT. Saptakrida Karyamas          ,01.501.350.1-075.000
2837,             PT. GISOS PRATAMA PERKASA          ,85.233.033.1-008.000
2838,             PT. EXAUDI SWARAMINDO          ,03.236.033.1-009.000
2839,             CV. CAHAYA MANDIRI UTAMA          ,02.203.320.3-429.000
2841,             CV. PUTRA JAYA SAKTI          ,31.454.727.4-015.000
2842,             CV. BAHARI PUTRA MANDIRI          ,72.245.656.3-532.000
2843,             CV TIERENT          ,66.173.197.6-542.000
2844,             cv. triton trisula          ,84.070.128.8-808.000
2845,             PT.Wiguna Cipta Sarana          ,01.594.321.0-023.000
2846,             PT. CENTRAL DIESEL          ,02.113.825.0-614.000
2848,             PT. ANUGRAH HARAPAN BERSAMA          ,74.256.335.6-048.000
2849,             PT. BINTANG ANUGRAH SINERGI          ,03.337.294.7-411.000
2851,             CV. AZZAM MITRA  SEJAHTERA          ,80.138.843.0-532.000
2852,             PT. CIPTA LESTARI TEKNIK          ,03.247.181.5-008.000
2853,             ADYA NADIRA          ,01.599.504.6-615.000
2854,             CV. Rajawali Diesel          ,02.205.154.4-509.000
2855,             PT.Sumber Aneka Power          ,31.181.606.0-424.000
2856,             SULUH BERKEMBANG          ,31.489.665.5-504.000
2858,             PT TRIBANDHAWA AMOGASAKTI          ,83.057.551.0-086.000
2865,             PT BERKAH DUA PILAR          ,73.435.076.2-006.000
2869,             PT.Temu Kapin Mandiri          ,01.624.702.5-008.000
2874,             PT. PARADHIGUNA DWIPANTARA LOKA          ,72.003.128.5-822.000
2880,             PT Bima Maju Sejahtera          ,76.654.512.3-005.000
2881,             PT.KOMLA CONSULTING ENGINEERS          ,01.375.325.6-061.000
2882,             CV. GRIYA ESTETIKA          ,31.346.657.5-532.000
2883,             PT. KALINGGA AGASTA MAHAVIRO          ,81.397.648.7-643.000
2884,             PT. MULTI KONSULINDO MANDIRI          ,03.289.742.3-015.000
2885,             PT. BUDITAMA CIPTAMAS PERKASA          ,01.885.152.7-013.000
2889,             PT. PERMATA MARGA KREASI          ,02.022.334.3-061.000
2891,             PT. XSIA SISTEM          ,02.727.046.1-432.000
2895,             PT DEDATO INDONESIA          ,01.357.198.9-411.000
2899,             CV.HARAPAN          ,01.415.146.8-925.000
2901,             PT. SISTEMINDO TEKNOTAMA MANDIRI          ,01.828.457.0-013.000
2911,             DEKAMA SEKATA          ,01.362.811.0-015.000
2913,             PT. Zamrud Khatulistiwa Technology          ,02.244.708.0-428.000
2914,             PT. HEXSA INDOTECH CONSULTANTS          ,01.349.759.9-023.000
2915,             CV KABAYAN CONSULTING          ,02.779.253.0-423.000
2916,             PT. Nuansa Citra Ramantha          ,01.996.931.0-013.000
2920,             PT. SMARTINDO PRIMA SISTEM          ,31.672.243.8-015.000
2922,             PT. Pakarti Inovasi          ,31.161.333.5-607.000
2923,             PT. PIRANTI GLOBALINDO          ,02.192.085.5-071.000
2925,             PT Global Future Technologies          ,75.958.245.5-445.000
2926,             PT. Puncak Kreasi Prima          ,02.991.837.2-009.000
2935,             CV. Mitra Anugerah Prima          ,03.047.139.5-039.000
2936,             CV. Elektra Anugerah          ,03.327.858.1-643.000
2938,             PT. Interdata Teknologi Sukses          ,70.695.584.6-034.000
2940,             PT. Waditra Reka Cipta Bandung          ,02.244.448.3-421.000
2941,             CV. GAPURA HASANAH KARYA          ,75.298.292.6-609.000
2942,             CV. PUTRA PERKASA          ,81.286.650.7-502.000
2943,             CV. Faza Adib Bersaudara          ,02.629.963.6-722.000
2944,             CV. DOKUMINDO BINA SEJAHTERA          ,02.604.692.0-018.000
2945,             PT. Extol Indonesia          ,02.545.750.8-013.000
2946,             CV.MANDALA ABADI JAYA          ,72.097.453.4-524.000
2948,             CV. Mumtaz          ,21.050.607.7-521.000
2950,             CV. SINERGI PERSADA          ,74.396.229.2-121.000
2954,             PT. Arvitech Mega Solusi          ,84.119.261.0-027.000
2955,             CV. IGREEN INDO TEKNO          ,83.619.491.0-434.000
2958,             CV. DELTAMAS MAKMUR PERKASA          ,71.256.214.9-421.000
2960,             CV. BERKAH MANDIRI          ,75.407.704.8-501.000
2961,             PT. Pandu Karya Manajemen          ,02.796.555.7-013.000
2962,             CV. PUTERA PRIANGAN          ,31.458.947.4-429.000
2963,             CV. GROTTE ENGINEERING          ,80.965.592.1-922.000
2964,             CV. Lianson Technic          ,70.212.709.3-121.000
2965,             PT. AIVON MEDIATAMA          ,02.305.782.1-034.000
2978,             CV Basic IT Team          ,02.767.478.7-528.000
2982,             PT AXIS MEGAH JAYA          ,74.460.505.6-011.000
2985,             Tejomukti          ,31.586.027.0-528.000
2987,             CV.KARYA SIRON JAYA          ,72.547.647.7-043.000
2988,             PT. Abirama Karya Teknik          ,83.193.627.3-429.000
2989,             PT. BONATAMA RINGGAS JAYA          ,82.808.066.3-408.000
2991,             PT.SNET INDONESIA          ,02.877.532.8-022.000
2992,             PT . ACLARIN PRIMA SEJAHTERA          ,81.262.680.2-448.000
2994,             PT. DUNIA FASTA INDONIAGA          ,70.442.805.1-542.000
2995,             PT Jarkom Bakti Persada          ,03.218.045.7-017.000
2998,             CV. MITRA NIAGA KENCANA          ,01.789.565.7-039.000
3009,             PT. Inti Sari Prima          ,72.485.212.4-036.000
3011,             UNIVERSAL KARYA MEDIA          ,71.838.282.3-516.000
3012,             ASIA MEGATAMA SEJAHTERA          ,72.346.762.7-012.000
3026,             PT. Royston Advisory Indonesia          ,02.742.014.0-072.000
3060,             PT. SHIMA BAHTERA NUSANTARA          ,71.244.282.1-411.000
3062,             CV. PELANGI          ,01.663.680.5-214.000
3063,             PT. AMALIA ARRAFAH UTAMA          ,31.263.238.3-432.000
3064,             PT RADITIA RIYADI          ,03.202.737.7-061.000
3065,             PT. JURIAH RATU AZORA          ,81.551.801.4-034.000
3066,             PT. MUKTIAT MOROGO          ,03.014.686.4-008.000
3068,             CV. MERANG SEJAHTERA INDONESIA          ,66.607.622.9-008.000
3069,             PT. BUMI PERAK          ,03.206.216.8-609.000
3070,             PT. Graha Aliyyah          ,31.681.788.1-086.000
3071,             ANUGERAH KONTRUKSI INDONESIA          ,75.377.533.7-623.000
3072,             PT. ALFA MAHATMA ABITRANE          ,31.584.047.0-643.000
3074,             PT. NAZRATAMA          ,31.681.800.4-086.000
3086,             CV.TRI SAMPOERNA          ,03.029.730.3-922.000
3087,             PT. Indo Cakra Abadi          ,83.958.118.8-013.000
3088,             PT.  DIRGANTARA JAYA PERKASA          ,71.689.830.9-009.000
3089,             PT INTEGRA PILAR TEKNOLOGI          ,83.460.168.4-412.000
3090,             PT Sinergy multitech indonesia          ,76.066.978.8-429.000
3091,             PT NUSANTARA CENTRAL ASIA          ,81.494.164.7-424.000
3094,             PT. LEN INDUSTRI (Persero)          ,01.063.305.5-051.000
3096,             CV. SANTANA TANAYA KARYA          ,75.809.532.7-121.000
3099,             PT SATYA MEGAH INTEKTAMA          ,80.937.493.7-429.000
3100,             PT.Mitra Solusi Cemerlang          ,76.301.081.6-061.000
3106,             PT. AQNIL PUTRA PRATAMA          ,02.270.026.4-045.000
3111,             PT. RADIO KOMUNIKASI INDONESIA          ,70.616.108.0-027.000
3114,             PT. INFOGLOBAL TEKNOLOGI SEMESTA          ,02.433.366.8-009.000
3115,             PT GREENBOKS INTERMATIKA          ,31.187.946.4-432.000
3118,             PT. Intek Sarana Sejahtera          ,02.972.313.7-424.000
3127,             CV. SUANKEN MANDIRI          ,03.224.223.2-008.000
3128,             CV. BINTANG PURNAMA KASIH          ,03.276.929.1-009.000
3129,             PT.DJASIPA MITRA PERKASA          ,82.184.535.1-061.000
3130,             PT. RIANAIDA CIPTAARTHA          ,01.593.304.7-005.000
3133,             Reka Optima          ,02.838.995.5-017.000
3134,             PT. LESTARI NAULI JAYA          ,81.851.293.1-427.000
3135,             PT.LASUNI GEMILANG PERKASA          ,75.764.121.2-412.000
3138,             PT. HEXINDO MULTI UTAMA          ,31.511.920.6-002.000
3140,             CV. SURYA SINAR MAS          ,02.748.738.8-009.000
3143,             PT. HIMINDO CITRA MANDIRI          ,01.622.680.5-086.000
3145,             PT. ROASTEFANI RAMBATE KARYA          ,01.575.446.8-009.000
3146,             PT. ANUGRAH HAYAT ABADI          ,02.780.422.8-301.000
3149,             PT.INDO LUSWITA LESTARI          ,31.583.043.0-034.000
3151,             PT. MUDAMITRA INDONUSA          ,01.348.609.7-411.000
3156,             PT. HUMBANG INTI PERSADA          ,80.150.189.1-009.000
3157,             PT. BINAPERWIRA SENTOSAMULIA          ,01.553.186.6-008.000
3165,             CV. TORGABE ARTHA NUGRAHA          ,81.818.576.1-432.000
3166,             PT. CITRA PRASASTI KONSORINDO          ,01.650.683.4-432.000
3167,             PT. CAHAYA MUDA KONSTRUKSI          ,67.349.530.6-307.000
3168,             PT. KARISMA BINTANG MAKMUR          ,76.240.134.7-061.000
3169,             PT. ARK GEO MARIN          ,70.442.006.6-011.000
3172,             PT.TANIA MANDIRI SENTOSA          ,01.948.005.2-308.000
3173,             PT. PRADYA CIPTA NUSANTARA          ,70.095.875.4-071.000
3174,             CV. TAROSIMA JAYA          ,02.056.650.1-009.000
3175,             PT. ROUDHOH PRATAMA          ,02.519.281.6-403.000
3176,             HOLAN MARPA          ,76.204.846.0-008.000
3177,             CV. GENTA BERKARYA          ,02.293.166.1-005.000
3178,             PT.KARYA RACHMAN MAKMUR          ,02.028.458.4-002.000
3183,             PT. FORTUNA DUA PUTRI          ,03.215.772.9-001.000
3197,             PT.ENGGAL BERSAUDARA JAYA          ,02.748.350.2-008.000
3204,             PT. LINE SOLUSI PRATAMA          ,03.007.972.7-002.000
3206,             PT. RIAMA PUTRI PARBUBU          ,80.276.628.7-407.000
3208,             PT.RUMAH LEBAH          ,03.320.468.6-419.000
3210,             CV. Cakra Buana Teknolab          ,71.285.399.3-446.000
3213,             PT. SUMBER BAYAK KREASI          ,31.558.056.3-009.000
3222,             PT.MARINATAMA GEMANUSA          ,01.488.710.3-217.000
3223,             PT. Lims Nautical Shipyard          ,03.176.316.2-215.000
3224,             PT.EMPAT SEKAWAN MARINE          ,74.649.734.6-645.000
3225,             pt avenir          ,31.745.353.8-617.000
3226,             PT. MANUNGGAL WIRA BAKTI          ,03.254.492.6-017.000
3230,             PT LUNDIN INDUSTRY INVEST          ,02.026.476.8-057.000
3233,             PT. IDEE MURNI PRATAMA          ,01.302.965.7-073.000
3234,             KURNIA MARINA          ,31.224.250.6-418.000
3243,             PT. Ardhi Perkasa          ,03.052.462.3-048.000
3244,             PT SURABAYA MARINE          ,31.291.045.8-617.000
3251,             PT Tri Ratna Diesel Indonesia          ,01.000.590.8-055.000
3253,             CV. Mega Buana          ,31.696.587.0-429.000
3258,"             United Media, PT          ",02.055.397.0-026.000
3260,             PT.LEAP NETWORKS INDONESIA          ,31.775.247.5-036.000
3261,             Hamparan Sukses Mandiri          ,83.161.397.1-013.000
3263,             PT. Mitra Adi Raharja          ,71.466.714.4-542.000
3265,             PT.JAKARTA SINERGI MULTIDIV          ,02.070.710.5-014.000
3267,             CV. AZRA PUTRI PRATHAMA          ,02.310.996.0-024.000
3273,             PT. Unique Sentrima Kinaya          ,02.816.979.5-077.000
3277,             PT. DHARMA DWITUNGGAL UTAMA          ,01.314.219.5-035.000
3281,             PT. GIRIS KARYA ABADI          ,02.192.402.2-019.000
3288,             PT. Sarana Husada Mandiri          ,75.691.728.2-432.000
3293,"             TAPINDO JAYA, CV          ",03.261.892.8-215.000
3294,             CV. BAYU RIZKY PRATAMA          ,02.678.183.1-831.000
3295,             PT. PEPPAS METROPOLITAN GROUP          ,82.750.678.3-017.000
3296,             PT.BAHTERA PRIMA PERSADA          ,66.758.775.2-044.000
3298,             PT. PUSAKA SEMBILAN BENUA          ,80.753.591.9-006.000
3302,             PT. National Marine Contractor          ,76.652.639.6-215.000
3304,             PT.BAHARI PRIMA MANDIRI          ,81.843.188.4-501.000
3305,             CV BERKAH GUMILANG          ,82.270.074.6-642.000
3306,             PT CONSTRINE JAYA GROUP          ,75.298.454.2-609.000
3308,             LENTERA SEGARA INDO          ,81.247.517.6-061.000
3310,             PT.Transformasi Sejahtera Indonesia          ,31.455.376.9-451.000
3319,             CV. TESAR          ,02.326.500.2-501.000
3321,             PT. FIBERBOAT INDONESIA          ,03.105.719.3-643.000
3322,             PULSAR BINTANG BIRU          ,80.495.224.0-432.000
3323,             CV.Satria Bayu Aji          ,31.586.702.8-005.000
3327,             PT. INTRACO LESTARI          ,01.330.259.1-073.000
3328,             PT. ARRESTER GUNA ABADI          ,02.510.533.9-407.000
3329,             PT. Cakrawala Energi Nusantara          ,31.303.934.9-015.000
3330,             PT. ETIKA SEJAHTERA BERSAMA          ,71.342.414.1-604.000
3331,             PT TAMIANG MULTI TRADA          ,02.359.946.7-004.000
3332,             CV. Gaya Trie          ,21.019.962.6-623.000
3334,             PT. PUTRA GADING MANDIRI          ,31.202.995.2-124.000
3335,             sinar mulia mandiri          ,03.082.298.5-604.000
3336,             PT. Sindo Wahana          ,01.585.556.2-029.000
3337,             PT MOEDA KARYA MANDIRI          ,82.935.261.6-204.000
3338,             PT. TOGIN JAYA PERKASA          ,03.319.277.4-071.000
3340,             KENCANA RODO  PT          ,01.301.051.7-003.000
3341,             CV. CIKARPAK DARAJAT          ,70.089.898.4-446.000
3342,             DUTA CUNEX SERVINDO          ,31.267.615.8-407.000
3344,             TRIJAYA REKAYASA MANDIRI          ,82.078.329.8-403.000
3345,             PT. Arjuna Satria Agung          ,01.240.494.3-428.000
3346,             PT INDORAYA NUSANTARA DJAYA          ,03.163.761.4-024.000
3347,             PT BERKAH MULTI MEDIA          ,02.744.093.2-413.000
3348,             PT. TELAGA GELANG INDONESIA          ,31.250.197.6-016.000
3355,"             KARYA CITRA, CV          ",02.851.885.0-726.000
3367,             ASELABAR PRATAMA          ,31.581.341.0-543.000
3369,             PT. HAPESINDO OMEGA PENTA          ,01.937.911.4-061.000
3377,             PT. SINAR PERTIWI SEJAJAR          ,66.902.666.8-009.000
3383,             CV. RESTU SANGHYANG UTAMA          ,75.178.576.7-419.000
3385,             PT DEWAKARYA INDOMITRA ANDALAN          ,80.932.209.2-418.000
3386,             arafat nusantara          ,72.115.189.2-429.000
3388,             sukaati          ,75.996.566.8-419.000
3394,             Sanfranco Anugrah Mahkota          ,31.750.506.3-002.000
3398,             CV. INDRA NUGRAHA          ,01.671.196.2-421.000
3401,             CV.PUTRA ADITYA          ,03.103.939.9-301.000
3402,             CV. Terra Madre Nusantara          ,71.231.041.6-422.000
3414,             BIS DATA INDONESIA          ,70.376.053.8-029.000
3418,             Sarana Amanah Integrasi          ,31.209.538.3-061.000
3420,             TECS Global Sinergi Indonesia          ,73.053.745.3-005.000
3421,             MULTISYSTEM INFRA ENGINEERING          ,02.796.681.1-411.000
3422,             GIAN BERKAT UTAMA          ,31.468.812.8-009.000
3424,             CV. ASTIRINDO JAYA          ,81.491.654.0-005.000
3425,             CV HAYOM MANDIRI          ,72.326.240.8-411.000
3428,             CV. Global Karunia Technology          ,02.798.956.5-508.000
3430,             CV  MAJU BERSAMA          ,02.748.037.5-008.000
3431,             PT. Puri Sakti Perkasa          ,01.210.697.7-511.000
3432,"             BUNDA AULIA, CV          ",31.624.406.0-421.000
3433,             CV. FAJAR JAYA SENTOSA          ,02.552.946.2-438.000
3434,             PT. PRISMA GANDA          ,02.869.160.8-026.000
3436,             PT. Aura Jagat Mandiri          ,31.644.843.0-009.000
3439,             PT. PRANALA GLOBAL MANDIRI          ,31.226.858.4-013.000
3443,             PANCA PRIMA PERKASA          ,02.682.860.8-541.000
3444,             PT. PANCA PUTRA AUTOINDO          ,66.175.286.5-009.000
3446,             PT. Prisma Inti Tradea          ,83.423.233.2-005.000
3447,             CV. SAMJAYA MANDIRI          ,03.215.235.7-009.000
3448,             CV. FAJAR UTAMA          ,02.551.700.4-201.000
3450,             CV. FARNAYA          ,02.176.398.2-619.000
3455,             CV. MAHADEWI PERTIWI          ,02.796.695.1-013.000
3456,             PT JAYA TEKNIK INDONESIA          ,01.313.138.8-073.000
3457,             PT MITRA PERSADA KENCANA          ,72.930.194.4-402.000
3458,             PT Ziegler Indonesia          ,01.070.901.2-055.000
3465,             PT. TANGARA MITRAKOM          ,01.831.880.8-073.000
3468,             PT Mora Telematika Indonesia          ,01.973.886.3-007.000
3470,             PT.INET GLOBAL INDO          ,02.293.859.1-033.000
3473,             CV. PESISIR NUSANTARA JAYA          ,75.378.009.7-501.000
3474,             CV. MAHA TIRTA          ,81.246.293.5-902.000
3476,             CV. RAGA SAKTI          ,66.647.019.0-426.000
3477,             PT. QISWAH CAHAYA PALMA          ,80.951.080.3-006.000
3478,             BUMI JAYA BARU          ,75.258.265.0-435.000
3479,             MENARA          ,31.310.776.5-407.000
3480,             PT. Inkomtek Jaya Makmur          ,74.441.596.9-416.000
3481,             CV.CHARTER AL QISTHI          ,81.208.626.2-647.000
3482,             PAGARIA JAYA SEJAHTERA          ,80.028.960.5-412.000
3483,             CV. NURACITRA ABADI          ,02.400.750.2-416.000
3484,             PT Pesona Karya Persada          ,75.486.868.5-013.000
3486,             CV. TIGA TRI          ,03.071.382.0-606.000
3487,             CV. SUCCESS JAYA ABADI          ,80.424.024.0-528.000
3490,             PT. SADATAHI JAYA TAMA          ,81.142.853.1-042.000
3492,             PT. KING 8          ,02.998.715.3-004.000
3494,             PT. Solindo Duta Praga          ,82.448.507.2-015.000
3495,             PT. Karisma Indo Karya          ,31.167.452.7-411.000
3496,             CV.BINAIYA DHARMA UTAMA          ,72.618.211.6-543.000
3497,             CV. KREASI LESTARI          ,76.386.751.2-028.000
3499,             PT. MARSINDO SURYA MAS          ,03.079.084.4-009.000
3501,             PT. KARYA PRIMA BAYAKTA          ,02.333.544.1-002.000
3503,             PT.MOEDJITABA & SONS          ,01.307.342.4-003.000
3504,             CV. CIPTA WARNA GRAFIKA          ,31.207.505.4-016.000
3507,             PT. Matahari Nusaphala Persada          ,82.943.640.1-732.000
3509,             CV.Amerta Abelin Panjaya          ,74.859.744.0-002.000
3510,             PT. Kharisma Persada          ,31.285.000.1-402.000
3511,             CV.PERSADA KARYA BANGSA          ,72.207.283.2-446.000
3514,             CV. GAYATRI  UTAMA          ,01.326.475.9-028.000
3517,             ardhana mandiri          ,03.113.390.3-615.000
3518,             PT. Rantisia Digital Perkasa          ,80.931.332.3-432.000
3519,             PT.TARA BINTANG PERMAI          ,75.401.817.4-006.000
3521,             PT. SAS TEKNOLOGI INDONESIA          ,81.601.185.2-026.000
3522,             CV.Tamaro Nusantara          ,73.703.755.6-451.000
3523,             CV. WULUKU RAYA          ,80.899.688.8-424.000
3530,             CV.PODA BERSAUDARA          ,82.461.415.0-418.000
3532,             CV. KARTIKA SARI          ,01.497.686.4-615.000
3534,             CV BINTANG SATU          ,81.101.143.6-005.000
3536,             Andalas Indah Rekatama          ,76.008.887.2-002.000
3537,             PT. BUMI MADANI          ,03.178.300.4-015.000
3538,             CV.Delta Arsitektur          ,01.128.991.5-201.000
3553,             PT. MAHAKARYA PRAKARSA UTAMA          ,03.224.231.5-008.000
3557,             CV. SULITA JAYA          ,01.459.105.1-201.000
3560,             PT. ARSADA KINERJA GEMILANG          ,75.276.974.5-034.000
3570,             CV ALODIA PRATAMA          ,03.352.869.6-731.000
3572,             MUSTIKA SENTOSA ABADI          ,80.964.989.0-002.000
3574,             PT. GAPURA DWI PRATAMA          ,66.180.055.7-009.000
3575,             PT. SARTONIA AGUNG          ,01.321.024.0-028.000
3576,             MUSTIKA PRIMA ANUGERAH          ,01.812.857.9-001.000
3577,             PT. ARYSNA MANDIRI          ,31.551.576.7-036.000
3578,             PT. KARYA BUMI INDAH          ,31.367.151.3-013.000
3579,             PT. CARRESIH ABADI          ,02.310.836.8-024.000
3580,             CV. Caisar          ,31.237.393.9-118.000
3581,             PT. TEKKEN PRATAMA          ,01.302.736.2-017.000
3582,             PT. LESTARI ASI SEJAHTERA          ,81.844.690.8-427.000
3583,             PT. KARYA MENTARI SERAYA          ,02.456.075.7-072.000
