,Nama,NPWP
935,             PT. SAMPURNA PUTRA ABADI          ,90.680.855.5-003.000
936,             cv.shinta mardongan          ,74.570.727.3-009.000
938,             PT. Jhosya Jaya Graha          ,03.319.007.5-042.000
941,             PT. KAIROS PRATAMA KARYA          ,94.050.875.7-402.000
942,             CV KARYA PERDANA SEJAHTERA          ,84.994.004.4-407.000
950,             PT. VALTEKINDO GLOBAL INTERTEK          ,84.071.571.8-429.000
956,             PT. PANCURANMAS INDO SEJATI          ,66.801.735.3-642.000
959,             CV.AULIMINDO UTAMA          ,21.056.206.2-412.000
960,             PT. BONA DUPANG SOALOON          ,01.392.314.9-034.000
961,             JENSSEN NATAMA ABADI          ,80.837.875.6-407.000
962,             BINTANG TIMUR TERANG. PT          ,02.025.745.7-017.000
964,             andromega buana abadi          ,02.360.049.7-008.000
966,             CV.Rosada Multi Fortuna          ,72.460.134.9-122.000
967,             PT pratama teknik inti prima          ,03.208.636.5-606.000
969,             PT. JAGA KARYA MANDIRI          ,01.789.769.5-028.000
970,             BINTANG EXAUDI DAIRINDO          ,86.110.363.8-009.000
974,             PT. WESTINDO ARTHA KENCANA          ,90.842.141.5-101.000
976,             PT. Artimas Bumi Asri          ,31.760.396.7-032.000
977,             PT.ASARO ANUGERAH          ,02.408.607.6-023.000
978,             CV. RATUMAS TEKNIKINDO          ,70.504.602.7-412.000
988,             PT. Delina          ,21.150.307.3-903.000
989,             PT. PANDERMAN JAYA          ,02.545.149.3-003.000
993,             PT. NISHI INDAH PERKASA          ,03.250.496.1-044.000
1000,             PT. IFORTE SOLUSI INFOTEK          ,01.821.391.8-062.000
1001,             PT GEMILANG ANANTA          ,01.807.657.0-063.000
1004,             PT. FACHRY MULTI KARYA          ,03.270.562.6-017.000
1006,             PT. Konvergensi Sistem Aplikatama          ,02.479.496.8-015.000
1007,             CV. SUKSES GEMILANG ENGINEERING          ,76.226.009.9-609.000
1013,             CV. GOLDEN CAKRAWALA          ,94.691.341.5-952.000
1014,             CV PAGA INDOCOTA          ,03.213.883.6-101.000
1016,             PT BOOGIE ADVINDO          ,02.268.964.0-404.000
1017,"             murai batu, cv          ",01.263.662.7-125.000
1018,             CV.TIMBUL RIZKY          ,66.028.847.3-401.000
1020,             PT INOVATIF SINERGI MANDIRI          ,91.193.269.7-048.000
1022,             CV. Andi Sejahtera          ,73.269.067.2-941.000
1025,             PT. NUSANTARA CITRA KONSULTAN          ,02.065.356.4-429.000
